IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ANNA,KOBIETA,1329528
MARIA,KOBIETA,1003792
ZOFIA,KOBIETA,711462
KATARZYNA,KOBIETA,680973
MAŁGORZATA,KOBIETA,625398
KRYSTYNA,KOBIETA,605663
BARBARA,KOBIETA,596948
AGNIESZKA,KOBIETA,595436
JANINA,KOBIETA,579442
EWA,KOBIETA,537155
ELŻBIETA,KOBIETA,519107
HELENA,KOBIETA,496811
TERESA,KOBIETA,473398
MAGDALENA,KOBIETA,453448
JADWIGA,KOBIETA,453299
JOANNA,KOBIETA,444488
MARIANNA,KOBIETA,443968
ALEKSANDRA,KOBIETA,428941
IRENA,KOBIETA,401646
MONIKA,KOBIETA,398171
DANUTA,KOBIETA,387297
STANISŁAWA,KOBIETA,359854
HALINA,KOBIETA,358697
MARTA,KOBIETA,335323
NATALIA,KOBIETA,326571
JULIA,KOBIETA,323930
KAROLINA,KOBIETA,314077
BEATA,KOBIETA,290624
DOROTA,KOBIETA,285991
ALICJA,KOBIETA,283533
GRAŻYNA,KOBIETA,262446
JOLANTA,KOBIETA,261001
IWONA,KOBIETA,243301
WIKTORIA,KOBIETA,241580
PAULINA,KOBIETA,237315
BOŻENA,KOBIETA,227657
URSZULA,KOBIETA,226977
ZUZANNA,KOBIETA,225759
JUSTYNA,KOBIETA,222565
HANNA,KOBIETA,208994
RENATA,KOBIETA,201997
EMILIA,KOBIETA,195312
AGATA,KOBIETA,191410
WANDA,KOBIETA,190261
WERONIKA,KOBIETA,188872
SYLWIA,KOBIETA,187030
JÓZEFA,KOBIETA,185393
STEFANIA,KOBIETA,183309
GENOWEFA,KOBIETA,175515
PATRYCJA,KOBIETA,170898
MAJA,KOBIETA,170498
IZABELA,KOBIETA,168654
WŁADYSŁAWA,KOBIETA,155655
ANETA,KOBIETA,154534
OLIWIA,KOBIETA,152389
KAZIMIERA,KOBIETA,152338
EWELINA,KOBIETA,151105
MARTYNA,KOBIETA,142451
GABRIELA,KOBIETA,141576
KLAUDIA,KOBIETA,140355
WIESŁAWA,KOBIETA,137858
MARZENA,KOBIETA,133640
DOMINIKA,KOBIETA,124548
LENA,KOBIETA,122932
KINGA,KOBIETA,121463
AMELIA,KOBIETA,121112
ANIELA,KOBIETA,118969
EDYTA,KOBIETA,118934
KAMILA,KOBIETA,113087
BRONISŁAWA,KOBIETA,110700
ANTONINA,KOBIETA,109838
ALINA,KOBIETA,109772
LUCYNA,KOBIETA,109112
LIDIA,KOBIETA,99471
CZESŁAWA,KOBIETA,97727
REGINA,KOBIETA,92576
LEOKADIA,KOBIETA,91558
HENRYKA,KOBIETA,90994
MIROSŁAWA,KOBIETA,87902
MARIOLA,KOBIETA,86948
ŁUCJA,KOBIETA,79298
SABINA,KOBIETA,77206
NIKOLA,KOBIETA,76019
WIOLETTA,KOBIETA,74770
MICHALINA,KOBIETA,74135
DARIA,KOBIETA,74015
MILENA,KOBIETA,73705
CECYLIA,KOBIETA,71346
BOGUMIŁA,KOBIETA,70832
OLGA,KOBIETA,68944
FRANCISZKA,KOBIETA,67326
EUGENIA,KOBIETA,66189
ANGELIKA,KOBIETA,65897
LAURA,KOBIETA,63600
ROZALIA,KOBIETA,60508
BOGUSŁAWA,KOBIETA,56481
SANDRA,KOBIETA,54429
ILONA,KOBIETA,53899
GERTRUDA,KOBIETA,51875
MARLENA,KOBIETA,49367
NADIA,KOBIETA,49106
KORNELIA,KOBIETA,48940
ANITA,KOBIETA,46515
NINA,KOBIETA,42657
LILIANA,KOBIETA,42297
IGA,KOBIETA,42006
MARCELINA,KOBIETA,41281
JAGODA,KOBIETA,40207
ZDZISŁAWA,KOBIETA,39762
POLA,KOBIETA,39278
ANASTAZJA,KOBIETA,38749
DANIELA,KOBIETA,37326
KLARA,KOBIETA,37120
WIOLETA,KOBIETA,35095
RÓŻA,KOBIETA,33752
ADRIANNA,KOBIETA,33392
KARINA,KOBIETA,32728
ROKSANA,KOBIETA,32138
DAGMARA,KOBIETA,32108
TETIANA,KOBIETA,30981
NATALIIA,KOBIETA,30977
MALWINA,KOBIETA,30873
SARA,KOBIETA,29875
PELAGIA,KOBIETA,28551
APOLONIA,KOBIETA,28477
OLENA,KOBIETA,28443
IRYNA,KOBIETA,27825
ELIZA,KOBIETA,27820
ŻANETA,KOBIETA,27712
JULIANNA,KOBIETA,26913
HONORATA,KOBIETA,26691
MIECZYSŁAWA,KOBIETA,26333
BERNADETA,KOBIETA,26094
