IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
JAN,MĘŻCZYZNA,1082446
STANISŁAW,MĘŻCZYZNA,945137
PIOTR,MĘŻCZYZNA,812943
ANDRZEJ,MĘŻCZYZNA,743793
KRZYSZTOF,MĘŻCZYZNA,734315
JÓZEF,MĘŻCZYZNA,689208
TOMASZ,MĘŻCZYZNA,580759
PAWEŁ,MĘŻCZYZNA,572905
MICHAŁ,MĘŻCZYZNA,561157
ADAM,MĘŻCZYZNA,491176
TADEUSZ,MĘŻCZYZNA,479266
MARCIN,MĘŻCZYZNA,474935
MAREK,MĘŻCZYZNA,455942
JERZY,MĘŻCZYZNA,450472
JAKUB,MĘŻCZYZNA,427872
GRZEGORZ,MĘŻCZYZNA,425872
HENRYK,MĘŻCZYZNA,400839
ZBIGNIEW,MĘŻCZYZNA,397448
ŁUKASZ,MĘŻCZYZNA,396864
WOJCIECH,MĘŻCZYZNA,387811
KAZIMIERZ,MĘŻCZYZNA,384843
MATEUSZ,MĘŻCZYZNA,383542
RYSZARD,MĘŻCZYZNA,366483
MARIAN,MĘŻCZYZNA,339342
DARIUSZ,MĘŻCZYZNA,318691
WŁADYSŁAW,MĘŻCZYZNA,315126
MARIUSZ,MĘŻCZYZNA,311103
ANTONI,MĘŻCZYZNA,296034
FRANCISZEK,MĘŻCZYZNA,295563
ROBERT,MĘŻCZYZNA,285871
MACIEJ,MĘŻCZYZNA,282593
RAFAŁ,MĘŻCZYZNA,275828
JACEK,MĘŻCZYZNA,264920
JANUSZ,MĘŻCZYZNA,260458
KAMIL,MĘŻCZYZNA,256071
ROMAN,MĘŻCZYZNA,254231
DAWID,MĘŻCZYZNA,240796
SZYMON,MĘŻCZYZNA,239622
MIROSŁAW,MĘŻCZYZNA,235825
EDWARD,MĘŻCZYZNA,225665
KACPER,MĘŻCZYZNA,223992
MIECZYSŁAW,MĘŻCZYZNA,222669
SŁAWOMIR,MĘŻCZYZNA,215807
JAROSŁAW,MĘŻCZYZNA,214783
WIESŁAW,MĘŻCZYZNA,213873
CZESŁAW,MĘŻCZYZNA,209263
BARTOSZ,MĘŻCZYZNA,205077
ARTUR,MĘŻCZYZNA,203924
ZDZISŁAW,MĘŻCZYZNA,203437
STEFAN,MĘŻCZYZNA,202238
ALEKSANDER,MĘŻCZYZNA,199977
KAROL,MĘŻCZYZNA,196703
SEBASTIAN,MĘŻCZYZNA,192214
DAMIAN,MĘŻCZYZNA,189526
PATRYK,MĘŻCZYZNA,182794
DANIEL,MĘŻCZYZNA,176675
PRZEMYSŁAW,MĘŻCZYZNA,173268
EUGENIUSZ,MĘŻCZYZNA,164361
FILIP,MĘŻCZYZNA,164260
ZYGMUNT,MĘŻCZYZNA,161728
LESZEK,MĘŻCZYZNA,157448
ADRIAN,MĘŻCZYZNA,151187
WALDEMAR,MĘŻCZYZNA,145402
ARKADIUSZ,MĘŻCZYZNA,144298
MIKOŁAJ,MĘŻCZYZNA,142969
BOGDAN,MĘŻCZYZNA,142608
DOMINIK,MĘŻCZYZNA,138564
WIKTOR,MĘŻCZYZNA,134863
BARTŁOMIEJ,MĘŻCZYZNA,128480
KRYSTIAN,MĘŻCZYZNA,117281
RADOSŁAW,MĘŻCZYZNA,108180
KONRAD,MĘŻCZYZNA,101266
BRONISŁAW,MĘŻCZYZNA,96772
HUBERT,MĘŻCZYZNA,94764
WACŁAW,MĘŻCZYZNA,92688
LEON,MĘŻCZYZNA,92382
BOLESŁAW,MĘŻCZYZNA,90341
ZENON,MĘŻCZYZNA,89531
BOGUSŁAW,MĘŻCZYZNA,88773
WŁODZIMIERZ,MĘŻCZYZNA,88029
