Nazwisko aktualne,Liczba
NOWAK,145426
KOWALSKI,93910
WIŚNIEWSKI,73756
WÓJCIK,66837
KOWALCZYK,65728
KAMIŃSKI,63450
LEWANDOWSKI,62293
ZIELIŃSKI,61323
DĄBROWSKI,61232
SZYMAŃSKI,59811
WOŹNIAK,59744
KOZŁOWSKI,50923
JANKOWSKI,46247
MAZUR,46012
KWIATKOWSKI,44366
WOJCIECHOWSKI,44309
KRAWCZYK,42790
KACZMAREK,41721
PIOTROWSKI,41096
GRABOWSKI,39054
ZAJĄC,37472
PAWŁOWSKI,37282
MICHALSKI,36698
KRÓL,36393
NOWAKOWSKI,35276
WRÓBEL,34089
WIECZOREK,34037
JABŁOŃSKI,33603
DUDEK,33270
ADAMCZYK,33214
MAJEWSKI,32989
NOWICKI,32206
OLSZEWSKI,32085
STĘPIEŃ,31788
MALINOWSKI,31565
JAWORSKI,31538
PAWLAK,30823
GÓRSKI,30207
SIKORA,29833
WITKOWSKI,29831
WALCZAK,29689
RUTKOWSKI,29294
BARAN,29152
MICHALAK,28711
SZEWCZYK,28376
OSTROWSKI,27925
TOMASZEWSKI,26791
DUDA,26341
ZALEWSKI,26288
PIETRZAK,26280
WRÓBLEWSKI,25905
JASIŃSKI,25655
MARCINIAK,25554
ZAWADZKI,25243
SADOWSKI,25224
BĄK,25188
JAKUBOWSKI,25091
WILK,24022
CHMIELEWSKI,23875
WŁODARCZYK,23828
BORKOWSKI,23419
SOKOŁOWSKI,22898
SZCZEPAŃSKI,22804
SAWICKI,22743
LIS,22511
KUCHARSKI,22194
MAZUREK,21612
KUBIAK,21588
WYSOCKI,21487
KALINOWSKI,21480
MACIEJEWSKI,21379
CZARNECKI,21281
KOŁODZIEJ,20571
KAŹMIERCZAK,20384
URBAŃSKI,20325
SOBCZAK,19485
KONIECZNY,19214
GŁOWACKI,18968
KRUPA,18877
WASILEWSKI,18766
ZAKRZEWSKI,18716
KRAJEWSKI,18630
ADAMSKI,18431
SIKORSKI,18408
MRÓZ,18348
LASKOWSKI,18242
GAJEWSKI,18201
ZIÓŁKOWSKI,18183
SZULC,18076
MAKOWSKI,18059
BARANOWSKI,17863
SZYMCZAK,17781
KACZMARCZYK,17707
PRZYBYLSKI,17703
CZERWIŃSKI,17700
BRZEZIŃSKI,17698
BŁASZCZYK,17536
ANDRZEJEWSKI,17508
KOZAK,17476
BOROWSKI,17464
CIEŚLAK,17396
KANIA,17239
CHOJNACKI,17154
GÓRECKI,17147
JANIK,17025
SZCZEPANIAK,17025
LESZCZYŃSKI,16684
MUCHA,16684
LIPIŃSKI,16674
KOZIOŁ,16566
WESOŁOWSKI,16562
KOWALEWSKI,16519
MIKOŁAJCZYK,16398
NOWACKI,16264
DOMAŃSKI,16263
JAROSZ,15971
CIESIELSKI,15931
MUSIAŁ,15923
KOWALIK,15908
ZIĘBA,15865
KOŁODZIEJCZYK,15693
MARKOWSKI,15570
KOPEĆ,15477
BRZOZOWSKI,15441
KUREK,15247
PIĄTEK,15240
ŻAK,15176
ORŁOWSKI,15126
PAWLIK,15063
TOMCZYK,15059
TOMCZAK,15035
KOT,14870
URBANIAK,14797
WAWRZYNIAK,14743
MARKIEWICZ,14622
WÓJTOWICZ,14588
WOLSKI,14492
KRUK,14458
CZAJKOWSKI,14350
POLAK,14350
STASIAK,14246
NAWROCKI,14218
SOWA,14185
STANKIEWICZ,13984
ŁUCZAK,13933
JASTRZĘBSKI,13908
KARPIŃSKI,13894
DZIEDZIC,13686
WIERZBICKI,13675
PIASECKI,13559
GAJDA,13426
KLIMEK,13370
BEDNAREK,13321
STEFAŃSKI,13176
URBAN,13173
JANICKI,13101
JÓŹWIAK,13054
BIELECKI,13021
DOMAGAŁA,12981
SOSNOWSKI,12912
MADEJ,12887
MAJCHRZAK,12874
MAJ,12762
MILEWSKI,12721
DOBROWOLSKI,12700
MAŁECKI,12654
KOWAL,12572
SKIBA,12558
LEŚNIAK,12533
ŚLIWIŃSKI,12506
SOCHA,12346
MAREK,12280
BEDNARCZYK,12130
WRONA,12096
KASPRZAK,12013
MATUSZEWSKI,11903
PAJĄK,11901
OLEJNICZAK,11842
RATAJCZAK,11688
WILCZYŃSKI,11674
ROMANOWSKI,11635
MICHALIK,11588
ŚWIĄTEK,11566
OWCZAREK,11535
KUROWSKI,11515
ORZECHOWSKI,11510
GRZELAK,11504
OLEJNIK,11374
ŁUKASIK,11331
SOBOLEWSKI,11161
ROGOWSKI,11144
BUKOWSKI,11134
MAZURKIEWICZ,11119
SROKA,11071
MATUSIAK,11054
RYBAK,11043
KĘDZIERSKI,11041
BARAŃSKI,11023
KOSIŃSKI,11009
CZAJKA,10881
KOZIEŁ,10823
SOBCZYK,10812
MARCINKOWSKI,10784
MARSZAŁEK,10778
SKOWROŃSKI,10762
ZYCH,10730
CHRZANOWSKI,10689
BEDNARSKI,10596
LISOWSKI,10585
BEDNARZ,10520
PLUTA,10479
KASPRZYK,10472
ŚWIDERSKI,10459
JANISZEWSKI,10455
KWIECIEŃ,10373
BIAŁEK,10354
MARCZAK,10336
KUCZYŃSKI,10335
MUSZYŃSKI,10327
JĘDRZEJEWSKI,10268
MORAWSKI,10252
WITEK,10247
PALUCH,10228
CZECH,10223
GRZYBOWSKI,10212
TUREK,10202
CZAJA,10177
ŻUKOWSKI,10096
DĘBSKI,10081
CIEŚLIK,10056
CHMIEL,10049
MARZEC,10042
KACZOR,10037
MAŁEK,9971
OSIŃSKI,9949
KUBICKI,9945
PIEKARSKI,9917
SZCZĘSNY,9829
KRZEMIŃSKI,9768
ŚLIWA,9751
